split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,morgan,lightgbm,full,none,overall,AUROC,0.5126913848966463,0.0276513454227077,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
loclo_loo,gene_jepa,morgan,mlp,full,none,within_drug,MCC,-0.020226220863962394,0.005154880044313541,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,mlp,full,none,within_drug,AUROC,0.48309942155913577,0.001428699515393944,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,mlp,full,none,within_cell_line,MCC,0.04381598697187083,0.005099990545538568,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,mlp,full,none,within_cell_line,AUROC,0.5301969852638614,0.006046171461868848,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,mlp,full,none,overall,MCC,0.0438159869718708,0.0201401793711925,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,mlp,full,none,overall,AUROC,0.5301969852638614,0.0219763171798048,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__mlp
loclo_loo,gene_jepa,morgan,xrfm,full,none,within_drug,MCC,0.011023262283192928,0.011073449580408018,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gene_jepa,morgan,xrfm,full,none,within_drug,AUROC,0.5135241133919696,0.005912965595061775,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gene_jepa,morgan,xrfm,full,none,within_cell_line,MCC,0.08925813500004826,0.0035788572146431925,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gene_jepa,morgan,xrfm,full,none,within_cell_line,AUROC,0.5582131111374468,0.004834573154328676,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gene_jepa,morgan,xrfm,full,none,overall,MCC,0.0892581350000483,0.0287406763683573,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gene_jepa,morgan,xrfm,full,none,overall,AUROC,0.5582131111374468,0.0267749648341154,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__xrfm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,within_drug,MCC,0.03875537499062047,0.0066047568517942105,3,10.0,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,within_drug,AUROC,0.506257678676368,0.006483299146802178,3,10.0,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,within_cell_line,MCC,0.17709219234300141,0.0021222357186814404,3,12.0,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,within_cell_line,AUROC,0.6308535923485113,0.004237210328067716,3,12.0,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,overall,MCC,0.1770921923430014,0.0835082048586845,12,,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
loclo_loo,gformer_cancer,biomed,lightgbm,full,none,overall,AUROC,0.6308535923485113,0.0589669883171997,12,,results/zenodo/grid/loclo_loo__gformer_cancer__biomed__lightgbm
